Date   Alt   Lat   Lon         X         Y         Z         H         F        I       D
        km   deg   deg        nT        nT        nT        nT        nT      deg     deg
2014.1 374  36.2  38.4  22201.34   1761.75   1761.75  22271.13  39390.32     55.6     4.5
2014.1 374  37.0  39.6  21620.36   1805.24   1805.24  21695.59  39885.29     57.0     4.8
2014.1 375  37.8  40.9  21024.66   1852.79   1852.79  21106.14  40377.39     58.5     5.0
2014.1 375  38.6  42.2  20415.03   1904.78   1904.78  20503.70  40866.13     59.9     5.3
2014.1 375  39.4  43.5  19792.07   1961.37   1961.37  19889.02  41351.02     61.3     5.7
2014.1 375  40.2  44.9  19156.20   2022.50   2022.50  19262.67  41831.49     62.6     6.0
2014.1 375  41.0  46.3  18507.64   2087.89   2087.89  18625.04  42306.87     63.9     6.4
2014.1 376  41.7  47.7  17846.49   2156.99   2156.99  17976.37  42776.34     65.2     6.9
2014.1 376  42.4  49.2  17172.70   2228.98   2228.98  17316.75  43238.87     66.4     7.4
2014.1 376  43.1  50.7  16486.15   2302.79   2302.79  16646.20  43693.22     67.6     8.0
2014.1 376  43.8  52.2  15786.71   2377.03   2377.03  15964.66  44137.86     68.8     8.6
2014.1 376  44.5  53.8  15074.29   2450.06   2450.06  15272.10  44571.03     70.0     9.2
2014.1 376  45.1  55.4  14348.96   2519.97   2519.97  14568.56  44990.63     71.1    10.0
2014.1 377  45.7  57.0  13610.97   2584.57   2584.57  13854.19  45394.35     72.2    10.8
2014.1 377  46.3  58.7  12860.95   2641.47   2641.47  13129.41  45779.63     73.3    11.6
2014.1 377  46.9  60.4  12099.92   2688.06   2688.06  12394.91  46143.76     74.4    12.5
2014.1 377  47.4  62.1  11329.42   2721.63   2721.63  11651.74  46484.01     75.5    13.5
2014.1 377  47.9  63.9  10551.60   2739.38   2739.38  10901.40  46797.71     76.5    14.6
2014.1 377  48.4  65.7   9769.24   2738.58   2738.58  10145.83  47082.51     77.6    15.7
2014.1 378  48.9  67.6   8985.71   2716.62   2716.62   9387.39  47336.50     78.6    16.8
2014.1 378  49.3  69.5   8204.97   2671.18   2671.18   8628.84  47558.50     79.5    18.0
2014.1 378  49.7  71.4   7431.35   2600.32   2600.32   7873.16  47748.22     80.5    19.3
2014.1 378  50.1  73.3   6669.34   2502.60   2502.60   7123.42  47906.50     81.4    20.6
2014.1 378  50.4  75.3   5923.28   2377.21   2377.21   6382.50  48035.40     82.4    21.9
2014.1 378  50.7  77.3   5196.95   2223.99   2223.99   5652.82  48138.28     83.3    23.2
2014.1 378  51.0  79.3   4493.18   2043.47   2043.47   4936.04  48219.69     84.1    24.5
2014.1 378  51.2  81.3   3813.45   1836.87   1836.87   4232.79  48285.18     85.0    25.7
2014.1 379  51.4  83.4   3157.48   1605.98   1605.98   3542.44  48340.92     85.8    27.0
2014.1 379  51.5  85.5   2523.04   1353.11   1353.11   2862.98  48393.23     86.6    28.2
2014.1 379  51.7  87.6   1905.86   1080.88   1080.88   2191.02  48447.98     87.4    29.6
2014.1 379  51.8  89.6   1299.70    792.12    792.12   1522.06  48509.99     88.2    31.4
2014.1 379  51.8  91.7   -696.72   -489.74   -489.74    851.63  48582.41     89.0  -144.9
2014.1 379  51.8  93.9    -87.95   -176.56   -176.56    197.25  48666.27     89.8  -116.5
2014.1 379  51.8  96.0    536.08    144.67    144.67    555.26  48760.15     89.3    15.1
2014.1 379  51.7  98.1   1184.52    471.38    471.38   1274.87  48860.07     88.5    21.7
2014.1 379  51.6 100.1   1865.50    801.12    801.12   2030.24  48959.67     87.6    23.2
2014.1 379  51.5 102.2   2585.38   1131.55   1131.55   2822.16  49050.58     86.7    23.6
2014.1 379  51.3 104.3   3348.19   1460.35   1460.35   3652.81  49122.95     85.7    23.6
2014.1 379  51.1 106.3   4155.30   1785.22   1785.22   4522.56  49166.18     84.7    23.2
2014.1 379  50.8 108.4   5005.20   2103.82   2103.82   5429.38  49169.64     83.7    22.8
